"DistanceKm","SciencePotential","SafetyPotential","SciencePoints","SafetyPoints","TotalPoints"
"6.26","0.109327425039406","1","5.46637125197032","50","55.4663712519703"
"6.27","0.108410319084591","1","5.42051595422957","50","55.4205159542296"
"6.28","0.107499186380129","1","5.37495931900645","50","55.3749593190065"
"6.29","0.10659400575743","1","5.32970028787149","50","55.3297002878715"
"6.3","0.105694755941489","1","5.28473779707443","50","55.2847377970744"
"6.31","0.104801415553136","1","5.24007077765682","50","55.2400707776568"
"6.32","0.103913963111282","1","5.19569815556411","50","55.1956981555641"
"6.33","0.103032377035143","1","5.15161885175713","50","55.1516188517571"
"6.34","0.102156635646461","1","5.10783178232307","50","55.1078317823231"
"6.35","0.101286717171718","1","5.06433585858592","50","55.0643358585859"
"6.36","0.100422599744327","1","5.02112998721634","50","55.0211299872163"
"6.37","0.0995642614068188","1","4.97821307034094","50","54.9782130703409"
"6.38","0.0987116801130197","1","4.93558400565099","50","54.935584005651"
"6.39","0.0978648337302121","1","4.89324168651061","50","54.8932416865106"
"6.4","0.097023700041287","1","4.85118500206435","50","54.8511850020643"
"6.41","0.0961882567468829","1","4.80941283734414","50","54.8094128373441"
"6.42","0.0953584814675145","1","4.76792407337573","50","54.7679240733757"
"6.43","0.0945343517456887","1","4.72671758728443","50","54.7267175872844"
"6.44","0.0937158450480079","1","4.68579225240039","50","54.6857922524004"
"6.45","0.0929029387672628","1","4.64514693836314","50","54.6451469383631"
"6.46","0.0920956102245113","1","4.60478051122556","50","54.6047805112256"
"6.47","0.0912938366711462","1","4.56469183355731","50","54.5646918335573"
"6.48","0.09049759529095","1","4.5248797645475","50","54.5248797645475"
"6.49","0.0897068632021377","1","4.48534316010689","50","54.4853431601069"
"6.5","0.0889216174593863","1","4.44608087296932","50","54.4460808729693"
"6.51","0.0881418350558521","1","4.4070917527926","50","54.4070917527926"
"6.52","0.0873674929251751","1","4.36837464625876","50","54.3683746462588"
"6.53","0.0865985679434712","1","4.32992839717356","50","54.3299283971736"
"6.54","0.0858350369313102","1","4.29175184656551","50","54.2917518465655"
"6.55","0.085076876655682","1","4.2538438327841","50","54.2538438327841"
"6.56","0.0843240638319493","1","4.21620319159747","50","54.2162031915975"
"6.57","0.0835765751257875","1","4.17882875628937","50","54.1788287562894"
"6.58","0.0828343871551102","1","4.14171935775551","50","54.1417193577555"
"6.59","0.0820974764919836","1","4.10487382459918","50","54.1048738245992"
"6.6","0.0813658196645253","1","4.06829098322626","50","54.0682909832263"
"6.61","0.0806393931587914","1","4.03196965793957","50","54.0319696579396"
"6.62","0.0799181734206494","1","3.99590867103247","50","53.9959086710325"
"6.63","0.0792021368576374","1","3.96010684288187","50","53.9601068428819"
"6.64","0.0784912598408103","1","3.92456299204052","50","53.9245629920405"
"6.65","0.0777855187065723","1","3.88927593532861","50","53.8892759353286"
"6.66","0.077084889758495","1","3.85424448792475","50","53.8542444879248"
"6.67","0.076389349269123","1","3.81946746345615","50","53.8194674634561"
"6.68","0.0756988734817643","1","3.78494367408821","50","53.7849436740882"
"6.69","0.0750134386122685","1","3.75067193061343","50","53.7506719306134"
"6.7","0.0743330208507896","1","3.71665104253948","50","53.7166510425395"
"6.71","0.0736575963635359","1","3.6828798181768","50","53.6828798181768"
"6.72","0.0729871412945054","1","3.64935706472527","50","53.6493570647253"
"6.73","0.0723216317672076","1","3.61608158836038","50","53.6160815883604"
"6.74","0.0716610438863711","1","3.58305219431855","50","53.5830521943186"
"6.75","0.071005353739637","1","3.55026768698185","50","53.5502676869818"
"6.76","0.0703545373992385","1","3.51772686996193","50","53.5177268699619"
"6.77","0.0697085709236662","1","3.48542854618331","50","53.4854285461833"
"6.78","0.0690674303593192","1","3.45337151796596","50","53.453371517966"
"6.79","0.0684310917421422","1","3.42155458710711","50","53.4215545871071"
"6.8","0.0677995310992478","1","3.38997655496239","50","53.3899765549624"
"6.81","0.067172724450526","1","3.3586362225263","50","53.3586362225263"
"6.82","0.0665506478102375","1","3.32753239051188","50","53.3275323905119"
"6.83","0.0659332771885944","1","3.29666385942972","50","53.2966638594297"
"6.84","0.0653205885933252","1","3.26602942966626","50","53.2660294296663"
"6.85","0.0647125580312268","1","3.23562790156134","50","53.2356279015613"
"6.86","0.0641091615097016","1","3.20545807548508","50","53.2054580754851"
"6.87","0.0635103750382796","1","3.17551875191398","50","53.175518751914"
"6.88","0.0629161746301273","1","3.14580873150637","50","53.1458087315064"
"6.89","0.0623265363035415","1","3.11632681517708","50","53.1163268151771"
"6.9","0.0617414360834291","1","3.08707180417145","50","53.0870718041715"
"6.91","0.0611608500027718","1","3.05804250013859","50","53.0580425001386"
"6.92","0.0605847541040778","1","3.02923770520389","50","53.0292377052039"
"6.93","0.0600131244408175","1","3.00065622204087","50","53.0006562220409"
"6.94","0.0594459370788458","1","2.97229685394229","50","52.9722968539423"
"6.95","0.0588831680978104","1","2.94415840489052","50","52.9441584048905"
"6.96","0.0583247935925438","1","2.91623967962719","50","52.9162396796272"
"6.97","0.0577707896744435","1","2.88853948372217","50","52.8885394837222"
"6.98","0.0572211324728356","1","2.86105662364178","50","52.8610566236418"
"6.99","0.0566757981363256","1","2.83378990681628","50","52.8337899068163"
"7","0.0561347628341337","1","2.80673814170669","50","52.8067381417067"
"7.01","0.0555980027574163","1","2.77990013787082","50","52.7799001378708"
"7.02","0.0550654941205733","1","2.75327470602867","50","52.7532747060287"
"7.03","0.0545372131625406","1","2.72686065812703","50","52.726860658127"
"7.04","0.0540131361480683","1","2.70065680740342","50","52.7006568074034"
"7.05","0.0534932393689855","1","2.67466196844928","50","52.6746619684493"
"7.06","0.0529774991454492","1","2.64887495727246","50","52.6488749572725"
"7.07","0.0524658918271805","1","2.62329459135903","50","52.623294591359"
"7.08","0.0519583937946855","1","2.59791968973427","50","52.5979196897343"
"7.09","0.0514549814604623","1","2.57274907302312","50","52.5727490730231"
"7.1","0.0509556312701942","1","2.54778156350971","50","52.5477815635097"
"7.11","0.0504603197039279","1","2.52301598519639","50","52.5230159851964"
"7.12","0.0499690232772381","1","2.49845116386191","50","52.4984511638619"
"7.13","0.049481718542378","1","2.4740859271189","50","52.4740859271189"
"7.14","0.0489983820894151","1","2.44991910447076","50","52.4499191044708"
"7.15","0.048518990547354","1","2.4259495273677","50","52.4259495273677"
"7.16","0.0480435205852436","1","2.40217602926218","50","52.4021760292622"
"7.17","0.0475719489132719","1","2.3785974456636","50","52.3785974456636"
"7.18","0.0471042522838458","1","2.35521261419229","50","52.3552126141923"
"7.19","0.046640407492657","1","2.33202037463285","50","52.3320203746328"
"7.2","0.0461803913797347","1","2.30901956898674","50","52.3090195689867"
"7.21","0.0457241808304835","1","2.28620904152417","50","52.2862090415242"
"7.22","0.0452717527767078","1","2.26358763883539","50","52.2635876388354"
"7.23","0.0448230841976229","1","2.24115420988114","50","52.2411542098811"
"7.24","0.0443781521208516","1","2.21890760604258","50","52.2189076060426"
"7.25","0.0439369336234074","1","2.19684668117037","50","52.1968466811704"
"7.26","0.0434994058326641","1","2.17497029163321","50","52.1749702916332"
"7.27","0.0430655459273114","1","2.15327729636557","50","52.1532772963656"
"7.28","0.0426353311382976","1","2.13176655691488","50","52.1317665569149"
"7.29","0.0422087387497577","1","2.11043693748789","50","52.1104369374879"
"7.3","0.0417857460999293","1","2.08928730499646","50","52.0892873049965"
"7.31","0.0413663305820536","1","2.06831652910268","50","52.0683165291027"
"7.32","0.0409504696452643","1","2.04752348226322","50","52.0475234822632"
"7.33","0.0405381407954626","1","2.02690703977313","50","52.0269070397731"
"7.34","0.0401293215961782","1","2.00646607980891","50","52.0064660798089"
"7.35","0.0397239896694186","1","1.98619948347093","50","51.9861994834709"
"7.36","0.0393221226965037","1","1.96610613482518","50","51.9661061348252"
"7.37","0.038923698418888","1","1.9461849209444","50","51.9461849209444"
"7.38","0.0385286946389698","1","1.92643473194849","50","51.9264347319485"
"7.39","0.0381370892208867","1","1.90685446104433","50","51.9068544610443"
"7.4","0.037748860091299","1","1.88744300456495","50","51.887443004565"
"7.41","0.0373639852401593","1","1.86819926200797","50","51.868199262008"
"7.42","0.0369824427214701","1","1.8491221360735","50","51.8491221360735"
"7.43","0.0366042106540275","1","1.83021053270137","50","51.8302105327014"
"7.44","0.0362292672221533","1","1.81146336110766","50","51.8114633611077"
"7.45","0.0358575906764139","1","1.79287953382069","50","51.7928795338207"
"7.46","0.035489159334326","1","1.7744579667163","50","51.7744579667163"
"7.47","0.035123951581051","1","1.75619757905255","50","51.7561975790526"
"7.48","0.0347619458700757","1","1.73809729350379","50","51.7380972935038"
"7.49","0.0344031207238813","1","1.72015603619406","50","51.7201560361941"
"7.5","0.0340474547345993","1","1.70237273672997","50","51.70237273673"
"7.51","0.0336949265646564","1","1.68474632823282","50","51.6847463282328"
"7.52","0.0333455149474055","1","1.66727574737028","50","51.6672757473703"
"7.53","0.0329991986877456","1","1.64995993438728","50","51.6499599343873"
"7.54","0.0326559566627295","1","1.63279783313648","50","51.6327978331365"
"7.55","0.0323157678221589","1","1.61578839110794","50","51.6157883911079"
"7.56","0.0319786111891681","1","1.59893055945841","50","51.5989305594584"
"7.57","0.0316444658607958","1","1.58222329303979","50","51.5822232930398"
"7.58","0.0313133110085441","1","1.5656655504272","50","51.5656655504272"
"7.59","0.0309851258789272","1","1.54925629394636","50","51.5492562939464"
"7.6","0.0306598897940075","1","1.53299448970038","50","51.5329944897004"
"7.61","0.0303375821519199","1","1.516879107596","50","51.516879107596"
"7.62","0.0300181824273852","1","1.50090912136926","50","51.5009091213693"
"7.63","0.0297016701722116","1","1.48508350861058","50","51.4850835086106"
"7.64","0.0293880250157847","1","1.46940125078923","50","51.4694012507892"
"7.65","0.0290772266655467","1","1.45386133327734","50","51.4538613332773"
"7.66","0.0287692549074639","1","1.43846274537319","50","51.4384627453732"
"7.67","0.0284640896064827","1","1.42320448032413","50","51.4232044803241"
"7.68","0.0281617107069753","1","1.40808553534876","50","51.4080855353488"
"7.69","0.0278620982331737","1","1.39310491165869","50","51.3931049116587"
"7.7","0.0275652322895934","1","1.37826161447967","50","51.3782616144797"
"7.71","0.0272710930614449","1","1.36355465307225","50","51.3635546530722"
"7.72","0.0269796608150363","1","1.34898304075181","50","51.3489830407518"
"7.73","0.0266909158981633","1","1.33454579490817","50","51.3345457949082"
"7.74","0.0264048387404901","1","1.3202419370245","50","51.3202419370245"
"7.75","0.0261214098539182","1","1.30607049269591","50","51.3060704926959"
"7.76","0.0258406098329463","1","1.29203049164732","50","51.2920304916473"
"7.77","0.0255624193550184","1","1.27812096775092","50","51.2781209677509"
"7.78","0.0252868191808623","1","1.26434095904311","50","51.2643409590431"
"7.79","0.0250137901548177","1","1.25068950774089","50","51.2506895077409"
"7.8","0.0247433132051543","1","1.23716566025772","50","51.2371656602577"
"7.81","0.0244753693443789","1","1.22376846721895","50","51.2237684672189"
"7.82","0.024209939669534","1","1.2104969834767","50","51.2104969834767"
"7.83","0.0239470053624848","1","1.19735026812424","50","51.1973502681242"
